2018-10,-700,270
2006-08,-500,28
2007-08,-700,183
2010-12,-500,59
2017-07,1000,18
2010-07,1000,22
2006-10,-700,268
2011-11,-300,44
2012-04,-400,79
2007-02,0,31
2012-01,100,183
2013-10,530,68
2010-03,900,25
2010-01,1100,17
2017-09,800,123
2012-05,-600,28
2011-09,-400,80
2015-05,-500,37
2006-01,-700,18
2014-03,-700,140
2005-12,-800,135
2017-05,800,123
2013-11,-300,37
2017-06,-700,237
2013-01,-800,136
2016-12,100,242
2014-09,100,101
2009-10,100,99
2006-05,-400,49
2015-05,900,39
2008-07,1000,63
2014-01,900,25
2008-04,900,18
2014-07,-700,186
2019-03,300,27
2016-01,-200,47
2013-04,300,54
2018-04,800,117
2019-03,530,64
2016-09,100,76
2012-04,-600,24
2016-10,530,66
2014-07,-300,56
2019-02,530,56
2011-08,300,33
2011-06,200,171
2017-03,300,70
2007-08,100,32
2015-02,800,94
2018-03,100,295
2013-04,800,67
2008-04,-400,92
2006-05,-700,155
2016-04,100,86
2014-06,0,26
2019-07,-500,69
2013-12,530,57
2019-12,800,173
2018-12,1100,14
2018-03,800,156
2008-01,900,21
2020-05,1400,1
2017-11,-500,150
2007-01,-600,21
2017-02,0,85
2010-06,200,153
2016-11,0,99
2017-09,-400,122
2016-12,-800,236
2016-04,-300,38
2011-02,-300,51
2016-07,530,52
2014-04,100,91
2008-04,400,13
2016-08,800,129
2013-10,0,43
2015-06,100,83
2009-03,-400,58
2018-11,100,256
2008-09,300,23
2011-07,100,59
2012-11,100,249
2019-04,900,29
2018-01,0,102
2015-06,900,42
2018-05,900,36
2006-11,-800,154
2009-07,300,26
2015-06,-400,114
2010-10,0,146
2013-07,-700,219
2015-09,1200,2
2014-05,0,38
2012-08,300,56
2012-09,300,51
2012-03,200,114
2012-01,-500,84
2007-12,-800,173
2012-08,530,54
2007-01,0,18
2007-07,100,42
2012-12,100,192
2014-07,530,88
2018-02,-800,189
2017-02,800,107
2013-02,100,189
2016-08,300,119
2018-08,0,25
2011-05,-400,101
2012-11,-800,131
2010-07,200,156
2016-08,530,67
2017-12,800,133
2008-10,-400,94
2018-11,1100,15
